toxic,nontoxic,bart,custom_transformer,bart_rouge1,bart_rouge2,bart_rougeL,bart_rougeLsum,bart_meteor,bart_bleu,bart_wer,custom_transformer_rouge1,custom_transformer_rouge2,custom_transformer_rougeL,custom_transformer_rougeLsum,custom_transformer_meteor,custom_transformer_bleu,custom_transformer_wer,toxic_toxicity,nontoxic_toxicity,bart_toxicity,custom_transformer_toxicity
That was supposed be an Australian accent - rubbish.,"that was supposed to be an Australian accent, not taken.",that was supposed be an Australian accent.,it was supposed to be an orphanage.,0.824,0.667,0.824,0.824,0.671,0.314,0.4,0.588,0.533,0.588,0.588,0.508,0.328,0.5,0.0003,0.0001,0.0002,0.0002
"Any minute now, we're going to find a gingerbread cottage with a cannibal witch inside.",I expect to find a gingerbread cottage with a great-looking witch.,any second we'll find a gingerbread house with a little bit of a witch inside,"any minute , we 'll find a book with the lights on a joint.",0.429,0.231,0.429,0.429,0.242,0.0,0.909,0.32,0.087,0.32,0.32,0.302,0.0,1.091,0.6676,0.0013,0.0064,0.0179
I don't have to ride the bus with losers anymore.,I don't have to take the bus anymore.,I don't have to ride the bus anymore.,i do n't have to ride on the bus.,0.889,0.75,0.889,0.889,0.895,0.597,0.125,0.632,0.353,0.632,0.632,0.779,0.0,0.75,0.0001,0.0002,0.0002,0.0002
"Pipe down, you big baboon. This doesn't hurt.",calm down. This is not going to hurt you.,"put it down, it doesn't hurt.",the little you 're just afraid. that does n't hurt.,0.25,0.0,0.25,0.25,0.139,0.0,1.0,0.2,0.0,0.1,0.1,0.18,0.0,1.111,0.9997,0.0002,0.0004,0.0607
Jobryeth takes a lethal strike to the back!,Joybreth has suffered a fatal hit in the back!,Jobryeth takes a deadly strike from the back!,steam 's put a slow on the back!,0.353,0.133,0.353,0.353,0.451,0.0,0.667,0.353,0.133,0.353,0.353,0.379,0.0,0.667,0.7965,0.0011,0.1865,0.0012
I want you to blow up Madison Square Garden.,you have orders to destroy Madison Square Garden.,I want you to destroy the building at Madison Square.,i want you to get out the garden.,0.556,0.25,0.556,0.556,0.556,0.0,1.0,0.375,0.0,0.375,0.375,0.413,0.0,0.75,0.0001,0.0015,0.0001,0.0005
"Oh, shit, this shit feels good.","oh, hell, this feels good.","oh, this feels good.",it 's really good stuff.,0.889,0.571,0.889,0.889,0.755,0.603,0.2,0.2,0.0,0.2,0.2,0.128,0.0,1.0,0.0001,0.0172,0.0004,0.0044
"Lady, you don't know shit about shit.","lady, you don't know anything about this.",you don't know anything about that.,"lady , you do n't know about anything.",0.8,0.769,0.8,0.8,0.706,0.484,0.286,0.75,0.286,0.625,0.625,0.869,0.0,0.857,0.0487,0.0019,0.0003,0.0064
"Jango, cut up with shooting!","stop the shooting, Jango!","Jango, stop!","dj , stop talking to us.",0.667,0.0,0.333,0.333,0.345,0.0,1.0,0.222,0.0,0.222,0.222,0.164,0.0,1.25,0.0002,0.9993,0.0001,0.0413
Hmmm... Since when have you liked balls?,since when do you like prom?,since when did you like such condos?,since since when you have liked a woman?,0.615,0.364,0.615,0.615,0.829,0.0,0.5,0.429,0.167,0.429,0.429,0.517,0.0,1.0,0.0001,0.0002,0.0001,0.0338
What is your fucking problem?,what is your problem?,what is your problem?,what 's your problem?,1.0,1.0,1.0,1.0,0.996,1.0,0.0,0.75,0.333,0.75,0.75,0.75,0.0,0.25,0.0002,0.1468,0.1468,0.1581
"If you use that much power, you'll be dead.","if you use your power, you'll lose your life.","if you use this much power, you'll be dead.","if you use this guy under control , you 'll be dead.",0.6,0.444,0.6,0.6,0.649,0.0,0.556,0.476,0.316,0.476,0.476,0.556,0.0,1.0,0.0001,0.0002,0.0001,0.002
"Suddenly he was standing over me, and I felt warm, German urine down my neck.","he was suddenly standing over me, and I felt the heat.","he suddenly stood over me, and I felt warm, spicy blood coming from my","and a bunch of here , i was standing , and played my voice down my voice.",0.56,0.348,0.56,0.56,0.647,0.324,0.727,0.308,0.0,0.231,0.231,0.316,0.0,1.455,0.9451,0.0011,0.0035,0.0167
But I didn't think you'd take so long to open the goddamn safe.,but I didn't think you'd open that safe for so long.,but I didn't think it would take so long to open the safe.,but i did n't think you 'd take so long to open the safe.,0.667,0.4,0.519,0.519,0.665,0.234,0.818,0.714,0.385,0.571,0.571,0.82,0.0,1.0,0.0001,0.0001,0.0002,0.0008
"If my soldiers find you within Wallachia's or Transylvania's borders when the sun rises three mornings from now, you will pray to your new God-that is to say, to me-that you could have died as easily as Brother Hans the Porter or his braying ass.","if my troops find you in Valašsko, when the sun comes up, you will be praying to your new God - to me - you will be sorry you didn't die as easily as Hans Forder's brother and his moving donkey.",if my soldiers find you in Wallachia or Transylvania when the sun rises,if my soldiers find a soldiers or close or close the sun 's close when the sun was the three months.,0.291,0.189,0.291,0.291,0.164,0.0,0.854,0.222,0.098,0.19,0.19,0.122,0.0,0.927,0.9196,0.0696,0.0028,0.0063
Do you want to get the fuck out of here?,you want to get out of here?,do you want to get out of here?,do you want to get out of here?,0.933,0.923,0.933,0.933,0.987,0.863,0.143,0.933,0.923,0.933,0.933,0.987,0.863,0.143,0.0001,0.0002,0.0006,0.0006
"We may have a big fucking lead on the Lundy case, and...",maybe we have a huge lead in Lundy's case.,"we may have a lead in the Lundy case, and...","we can have a big lead in the bathroom , and ...",0.7,0.222,0.7,0.7,0.516,0.0,0.778,0.5,0.222,0.5,0.5,0.402,0.0,0.889,0.001,0.0002,0.0006,0.0017
"Shit, I'm cold.","dude, it's cold.",I'm cold.,i 'm cold.,0.286,0.0,0.286,0.286,0.323,0.0,0.667,0.286,0.0,0.286,0.286,0.323,0.0,0.667,0.0001,0.003,0.0002,0.0053
"If you had any real balls, you'd jump off that bridge.","if you were a guy, you'd jump off that bridge.","if you had a real estate, would you jump off of the bridge?","if you had any real , you 'd pay for her.",0.583,0.182,0.583,0.583,0.478,0.0,0.8,0.381,0.211,0.381,0.381,0.436,0.0,0.9,0.0001,0.0002,0.0001,0.0714
I didn't do anything! - Liar!,I didn't do anything!,I didn't do anything!,i did n't do anything!,1.0,1.0,1.0,1.0,0.998,1.0,0.0,0.727,0.444,0.727,0.727,0.998,0.0,0.5,0.0027,0.0001,0.0001,0.0002
she's a cavewoman.,there's a cavewoman.,it's a cavewoman.,she 's just an package.,0.75,0.667,0.75,0.75,0.794,0.0,0.333,0.222,0.0,0.222,0.222,0.196,0.0,1.667,0.0228,0.0017,0.0072,0.0793
"And even if you did have both of these things, I couldn't sell you the car because the damn thing's not for sale.","and even if you did, I wouldn't sell it to you, because it's just not for sale.","and even if you had them both, I couldn't sell you the car because the car","and even if you have to both of these things , i could n't sell you the car because you did n't sell it.",0.5,0.235,0.5,0.5,0.413,0.158,0.706,0.545,0.286,0.455,0.455,0.476,0.151,1.0,0.0001,0.0009,0.0001,0.002
You never ask me for a fucking thing.,you'll never want anything for me.,you never asked me for anything.,you never ask me for a thing.,0.769,0.0,0.462,0.462,0.38,0.0,0.667,0.571,0.0,0.429,0.429,0.312,0.0,0.833,0.0005,0.0019,0.0035,0.0055
"Don't you fucking realize, man, that if Bonnie comes home... and finds a body in her house, I'm going to get divorced?","you don't realize that when Bonnie comes home and finds a dead body in your house, she'll divorce me?",do you realise that if Bonnie comes home and finds a body in her house?,"do n't you realise , if those man gets home , if they gave her a body , i 'm in her house and the house.",0.611,0.353,0.611,0.611,0.537,0.274,0.526,0.356,0.0,0.267,0.267,0.293,0.0,1.158,0.0003,0.0007,0.0011,0.0377
"It's getting down to the wire, folks. - Katie, Kate, whatever her last name... - Shut up!","it's coming, my friends...... Katie, Katie, whatever her name.","it's getting down to the wire, folks.","it 's just trying to play a cat , despite their name , which was exactly his name.",0.222,0.125,0.222,0.222,0.308,0.0,0.889,0.231,0.083,0.231,0.231,0.332,0.0,1.889,0.0004,0.0003,0.0002,0.0125
